target,source,weight
Physics and Astronomy ,Physics and Astronomy ,0.3145099504177138
Physics and Astronomy ,Engineering ,0.1318094138422876
Physics and Astronomy ,Materials Science ,0.1258113156286083
Physics and Astronomy ,Chemistry ,0.1470434014806765
Physics and Astronomy ,Chemical Engineering ,0.056181484751748965
Physics and Astronomy ,"Pharmacology, Toxicology and Pharmaceutics ",0.01907423758744821
Physics and Astronomy ,"Biochemistry, Genetics and Molecular Biology ",0.050666304421653194
Physics and Astronomy ,Medicine ,0.029562589146233782
Physics and Astronomy ,Earth and Planetary Sciences ,0.013436120355905726
Physics and Astronomy ,Mathematics ,0.01178360388507777
Physics and Astronomy ,Multidisciplinary,0.06680907423758745
Physics and Astronomy ,Immunology and Microbiology ,0.005394281056849827
Physics and Astronomy ,Environmental Science ,0.0090063166474224
Physics and Astronomy ,Dentistry ,0.0003294165591251783
Physics and Astronomy ,Agricultural and Biological Sciences ,0.0032914487536507505
Physics and Astronomy ,Neuroscience ,0.0038171568294505195
Physics and Astronomy ,Social Sciences ,0.001624668885417374
Physics and Astronomy ,Energy ,0.0031046661685797733
Physics and Astronomy ,Computer Science ,0.003911566936086395
Physics and Astronomy ,Health Professions ,0.0006337023704408069
Physics and Astronomy ,Nursing ,0.0003626978197378252
Physics and Astronomy ,Veterinary ,0.00010731508524077974
Physics and Astronomy ,Psychology ,0.00020104598247639748
Physics and Astronomy ,Decision Sciences ,0.0008558038443252055
Physics and Astronomy ,Arts and Humanities ,0.0004340148067649256
Physics and Astronomy ,"Business, Management and Accounting ",0.00011410717924336072
Physics and Astronomy ,"Economics, Econometrics and Finance ",0.00012429532024723223
Materials Science ,Earth and Planetary Sciences ,0.004042288107149342
Materials Science ,Materials Science ,0.276932679298033
Materials Science ,Chemistry ,0.23601365902580132
Materials Science ,Physics and Astronomy ,0.12761986827624838
Materials Science ,Engineering ,0.11207068881972425
Materials Science ,Chemical Engineering ,0.08420213981540406
Materials Science ,"Biochemistry, Genetics and Molecular Biology ",0.04469997087494027
Materials Science ,Multidisciplinary,0.047314632503984794
Materials Science ,Environmental Science ,0.013627986946955562
Materials Science ,Mathematics ,0.007199727630032295
Materials Science ,Arts and Humanities ,0.0002688961891845514
Materials Science ,Immunology and Microbiology ,0.002909611157133316
Materials Science ,Medicine ,0.01816158956245347
Materials Science ,Health Professions ,0.00038806609120952307
Materials Science ,Agricultural and Biological Sciences ,0.0025120565042240986
Materials Science ,Social Sciences ,0.0011841403355058924
Materials Science ,Nursing ,0.00023174605778405417
Materials Science ,Computer Science ,0.0017643900069041348
Materials Science ,Energy ,0.005055955978220052
Materials Science ,"Pharmacology, Toxicology and Pharmaceutics ",0.012241209531083323
Materials Science ,"Economics, Econometrics and Finance ",2.733992354149147e-05
Materials Science ,Neuroscience ,0.000994690747671322
Materials Science ,Decision Sciences ,8.877433997001937e-05
Materials Science ,Dentistry ,0.00033515529800275427
Materials Science ,"Business, Management and Accounting ",5.130256241021046e-05
Materials Science ,Veterinary ,5.226750088814546e-05
Materials Science ,Psychology ,9.166915540382434e-06
Chemistry ,Engineering ,0.033385378247266506
Chemistry ,Chemistry ,0.47822360766818495
Chemistry ,Chemical Engineering ,0.11299459814377297
Chemistry ,Materials Science ,0.1046616304058381
Chemistry ,"Biochemistry, Genetics and Molecular Biology ",0.08286262217262973
Chemistry ,Medicine ,0.03353240994705158
Chemistry ,Environmental Science ,0.01027725508027398
Chemistry ,Agricultural and Biological Sciences ,0.00738525377478666
Chemistry ,"Pharmacology, Toxicology and Pharmaceutics ",0.0211003525926722
Chemistry ,Physics and Astronomy ,0.050109808986890374
Chemistry ,Multidisciplinary,0.03470560274664738
Chemistry ,Immunology and Microbiology ,0.0056971666186574725
Chemistry ,Social Sciences ,0.0018518965672235847
Chemistry ,Earth and Planetary Sciences ,0.0064820914369395554
Chemistry ,Neuroscience ,0.0024374160193360857
Chemistry ,Mathematics ,0.0075689016958751885
Chemistry ,Health Professions ,0.0012179711507254037
Chemistry ,Energy ,0.0025035065983451056
Chemistry ,Computer Science ,0.0013982181843863672
Chemistry ,Arts and Humanities ,0.00033385378247266506
Chemistry ,Decision Sciences ,0.00014022992492994455
Chemistry ,Nursing ,0.0007297170790412717
Chemistry ,Dentistry ,0.00014816532892759703
Chemistry ,Psychology ,2.131222787940952e-05
Chemistry ,"Business, Management and Accounting ",3.174161599060992e-05
Chemistry ,Veterinary ,0.00016936419389275436
Chemistry ,"Economics, Econometrics and Finance ",2.9927809362575072e-05
Agricultural and Biological Sciences ,Medicine ,0.08833248331393473
Agricultural and Biological Sciences ,Agricultural and Biological Sciences ,0.3416209515165396
Agricultural and Biological Sciences ,Nursing ,0.030374215718746034
Agricultural and Biological Sciences ,Chemistry ,0.06684813658435243
Agricultural and Biological Sciences ,"Pharmacology, Toxicology and Pharmaceutics ",0.03548199505654828
Agricultural and Biological Sciences ,Chemical Engineering ,0.016252257376224263
Agricultural and Biological Sciences ,"Biochemistry, Genetics and Molecular Biology ",0.19682873230178727
Agricultural and Biological Sciences ,Multidisciplinary,0.04566860482442062
Agricultural and Biological Sciences ,Neuroscience ,0.007988195657152978
Agricultural and Biological Sciences ,Environmental Science ,0.0673257935619332
Agricultural and Biological Sciences ,Immunology and Microbiology ,0.0317399230129342
Agricultural and Biological Sciences ,Engineering ,0.01895812881071927
Agricultural and Biological Sciences ,Materials Science ,0.014359509673618095
Agricultural and Biological Sciences ,Earth and Planetary Sciences ,0.012683878779003187
Agricultural and Biological Sciences ,Mathematics ,0.005857045184987778
Agricultural and Biological Sciences ,Physics and Astronomy ,0.0050941563223988766
Agricultural and Biological Sciences ,Veterinary ,0.003455988720143246
Agricultural and Biological Sciences ,"Economics, Econometrics and Finance ",0.0009859657398191375
Agricultural and Biological Sciences ,Health Professions ,0.0003916616928469803
Agricultural and Biological Sciences ,Decision Sciences ,0.0007535230394990817
Agricultural and Biological Sciences ,Computer Science ,0.0009689369705649209
Agricultural and Biological Sciences ,Arts and Humanities ,0.0013895475711440694
Agricultural and Biological Sciences ,Energy ,0.0010498236245224495
Agricultural and Biological Sciences ,Social Sciences ,0.0033112441814824056
Agricultural and Biological Sciences ,"Business, Management and Accounting ",0.0012277742632290122
Agricultural and Biological Sciences ,Psychology ,0.000590046854658603
Agricultural and Biological Sciences ,Dentistry ,0.00046147964678926813
"Pharmacology, Toxicology and Pharmaceutics ",Immunology and Microbiology ,0.025259812247082403
"Pharmacology, Toxicology and Pharmaceutics ",Medicine ,0.1688225303501117
"Pharmacology, Toxicology and Pharmaceutics ",Chemistry ,0.12049499489386335
"Pharmacology, Toxicology and Pharmaceutics ","Pharmacology, Toxicology and Pharmaceutics ",0.22657157056025515
"Pharmacology, Toxicology and Pharmaceutics ","Biochemistry, Genetics and Molecular Biology ",0.2570609405121428
"Pharmacology, Toxicology and Pharmaceutics ",Multidisciplinary,0.06048177901077477
"Pharmacology, Toxicology and Pharmaceutics ",Environmental Science ,0.017200308006531485
"Pharmacology, Toxicology and Pharmaceutics ",Neuroscience ,0.026842441552483984
"Pharmacology, Toxicology and Pharmaceutics ",Chemical Engineering ,0.02308192209182308
"Pharmacology, Toxicology and Pharmaceutics ",Agricultural and Biological Sciences ,0.00668985817500669
"Pharmacology, Toxicology and Pharmaceutics ",Computer Science ,0.002101434633259244
"Pharmacology, Toxicology and Pharmaceutics ",Engineering ,0.015813186393101527
"Pharmacology, Toxicology and Pharmaceutics ",Materials Science ,0.01924057822219067
"Pharmacology, Toxicology and Pharmaceutics ",Mathematics ,0.005319119887719605
"Pharmacology, Toxicology and Pharmaceutics ",Arts and Humanities ,0.0015116348921157974
"Pharmacology, Toxicology and Pharmaceutics ",Earth and Planetary Sciences ,0.0004707475711718993
"Pharmacology, Toxicology and Pharmaceutics ",Nursing ,0.003344382976631916
"Pharmacology, Toxicology and Pharmaceutics ",Social Sciences ,0.005621665310491336
"Pharmacology, Toxicology and Pharmaceutics ",Veterinary ,0.0006793619240578222
"Pharmacology, Toxicology and Pharmaceutics ",Physics and Astronomy ,0.010808626367325094
"Pharmacology, Toxicology and Pharmaceutics ",Energy ,0.0001529110440001529
"Pharmacology, Toxicology and Pharmaceutics ",Health Professions ,0.0012189194650297904
"Pharmacology, Toxicology and Pharmaceutics ",Dentistry ,0.0006018141803148876
"Pharmacology, Toxicology and Pharmaceutics ",Psychology ,0.00030036097928601464
"Pharmacology, Toxicology and Pharmaceutics ","Business, Management and Accounting ",7.208663502864352e-05
"Pharmacology, Toxicology and Pharmaceutics ",Decision Sciences ,0.00020315324417163172
"Pharmacology, Toxicology and Pharmaceutics ","Economics, Econometrics and Finance ",3.385887402860529e-05
"Biochemistry, Genetics and Molecular Biology ",Immunology and Microbiology ,0.03640266498376421
"Biochemistry, Genetics and Molecular Biology ","Biochemistry, Genetics and Molecular Biology ",0.5180628861049179
"Biochemistry, Genetics and Molecular Biology ",Medicine ,0.15625705607078672
"Biochemistry, Genetics and Molecular Biology ",Neuroscience ,0.0389401208457895
"Biochemistry, Genetics and Molecular Biology ","Pharmacology, Toxicology and Pharmaceutics ",0.029112174328895332
"Biochemistry, Genetics and Molecular Biology ",Chemistry ,0.04014421134692612
"Biochemistry, Genetics and Molecular Biology ",Materials Science ,0.006296471800829368
"Biochemistry, Genetics and Molecular Biology ",Multidisciplinary,0.0865027874891634
"Biochemistry, Genetics and Molecular Biology ",Chemical Engineering ,0.017120620868718323
"Biochemistry, Genetics and Molecular Biology ",Agricultural and Biological Sciences ,0.025831388023295678
"Biochemistry, Genetics and Molecular Biology ",Mathematics ,0.008027270007577428
"Biochemistry, Genetics and Molecular Biology ",Physics and Astronomy ,0.006850694088077233
"Biochemistry, Genetics and Molecular Biology ",Nursing ,0.005399409091603903
"Biochemistry, Genetics and Molecular Biology ",Environmental Science ,0.008650497118611867
"Biochemistry, Genetics and Molecular Biology ",Engineering ,0.006959442196449745
"Biochemistry, Genetics and Molecular Biology ",Veterinary ,0.001640393152799827
"Biochemistry, Genetics and Molecular Biology ",Health Professions ,0.0011372693743053114
"Biochemistry, Genetics and Molecular Biology ",Social Sciences ,0.0013827169120778095
"Biochemistry, Genetics and Molecular Biology ",Computer Science ,0.0010748156413845512
"Biochemistry, Genetics and Molecular Biology ",Psychology ,0.0003869511004740806
"Biochemistry, Genetics and Molecular Biology ",Arts and Humanities ,0.0017556923520381535
"Biochemistry, Genetics and Molecular Biology ",Dentistry ,0.000676946056134114
"Biochemistry, Genetics and Molecular Biology ",Earth and Planetary Sciences ,0.0007350323951443315
"Biochemistry, Genetics and Molecular Biology ","Business, Management and Accounting ",3.8869805803829766e-05
"Biochemistry, Genetics and Molecular Biology ",Decision Sciences ,0.0004664376696459572
"Biochemistry, Genetics and Molecular Biology ",Energy ,9.695614481404728e-05
"Biochemistry, Genetics and Molecular Biology ","Economics, Econometrics and Finance ",5.0225029971240714e-05
Chemical Engineering ,Multidisciplinary,0.06442597517038641
Chemical Engineering ,Chemical Engineering ,0.20652309152279943
Chemical Engineering ,Physics and Astronomy ,0.05002356846650669
Chemical Engineering ,Chemistry ,0.3599892615198963
Chemical Engineering ,Materials Science ,0.09915746634302576
Chemical Engineering ,"Biochemistry, Genetics and Molecular Biology ",0.0876265327864795
Chemical Engineering ,Engineering ,0.04683190309681177
Chemical Engineering ,Social Sciences ,0.0024794829475344084
Chemical Engineering ,"Pharmacology, Toxicology and Pharmaceutics ",0.013392775518049163
Chemical Engineering ,Mathematics ,0.006300384007691748
Chemical Engineering ,Medicine ,0.030420490875190588
Chemical Engineering ,Environmental Science ,0.011426581216668012
Chemical Engineering ,Neuroscience ,0.0015202441309612946
Chemical Engineering ,Agricultural and Biological Sciences ,0.004120133624509065
Chemical Engineering ,Earth and Planetary Sciences ,0.003473951827570691
Chemical Engineering ,Immunology and Microbiology ,0.0049892905066573675
Chemical Engineering ,Computer Science ,0.0013235801058061375
Chemical Engineering ,Nursing ,0.0004504096721240562
Chemical Engineering ,Energy ,0.004015335334460398
Chemical Engineering ,Decision Sciences ,8.42845822093531e-05
Chemical Engineering ,Arts and Humanities ,0.00035542228582462654
Chemical Engineering ,Health Professions ,0.0007077229204563141
Chemical Engineering ,"Business, Management and Accounting ",7.135202726717722e-05
Chemical Engineering ,Psychology ,0.00011327134328664384
Chemical Engineering ,"Economics, Econometrics and Finance ",4.5932867553245334e-05
Chemical Engineering ,Dentistry ,5.886542249542121e-05
Chemical Engineering ,Veterinary ,7.268987777843679e-05
Environmental Science ,Environmental Science ,0.4133271320822602
Environmental Science ,Immunology and Microbiology ,0.016485382451922024
Environmental Science ,Earth and Planetary Sciences ,0.09446055697180039
Environmental Science ,Multidisciplinary,0.04136088209871397
Environmental Science ,Chemical Engineering ,0.03296286708408107
Environmental Science ,Chemistry ,0.06610826155823984
Environmental Science ,Agricultural and Biological Sciences ,0.07977061221266196
Environmental Science ,Materials Science ,0.02402604525450724
Environmental Science ,Medicine ,0.061659156425095764
Environmental Science ,Energy ,0.011754588413898408
Environmental Science ,Physics and Astronomy ,0.014324889978983023
Environmental Science ,"Biochemistry, Genetics and Molecular Biology ",0.047200881045671335
Environmental Science ,Engineering ,0.03315065968733409
Environmental Science ,Mathematics ,0.004896648253046145
Environmental Science ,"Pharmacology, Toxicology and Pharmaceutics ",0.020854631851907102
Environmental Science ,Social Sciences ,0.012370618355410664
Environmental Science ,Neuroscience ,0.0018559876442997487
Environmental Science ,Decision Sciences ,0.002069228777900145
Environmental Science ,"Economics, Econometrics and Finance ",0.00787500383921794
Environmental Science ,Veterinary ,0.0009328202675605829
Environmental Science ,Nursing ,0.0013443844307646407
Environmental Science ,Health Professions ,0.0005879488045772253
Environmental Science ,Computer Science ,0.0021868185388155903
Environmental Science ,"Business, Management and Accounting ",0.006237522541693906
Environmental Science ,Arts and Humanities ,0.0012443453804335902
Environmental Science ,Dentistry ,0.0001965679585452216
Environmental Science ,Psychology ,0.0007555580906581955
Engineering ,Chemistry ,0.12659147707538157
Engineering ,Chemical Engineering ,0.09768031087464583
Engineering ,Energy ,0.021689498433881668
Engineering ,Engineering ,0.24955830249982255
Engineering ,Materials Science ,0.13044223764927115
Engineering ,Mathematics ,0.03295725976083957
Engineering ,Computer Science ,0.024942954602980995
Engineering ,Physics and Astronomy ,0.13263109763948566
Engineering ,Environmental Science ,0.03746813277367188
Engineering ,Medicine ,0.022934981751125676
Engineering ,"Biochemistry, Genetics and Molecular Biology ",0.024333716671701776
Engineering ,Agricultural and Biological Sciences ,0.009093347184598465
Engineering ,Immunology and Microbiology ,0.0056897798138746715
Engineering ,Earth and Planetary Sciences ,0.013082285433623527
Engineering ,Arts and Humanities ,0.00046226713136237533
Engineering ,Multidisciplinary,0.04478150027038859
Engineering ,"Economics, Econometrics and Finance ",0.0012505079599762082
Engineering ,"Pharmacology, Toxicology and Pharmaceutics ",0.008482853092636198
Engineering ,Social Sciences ,0.0034167570578958178
Engineering ,Decision Sciences ,0.003862066020037019
Engineering ,"Business, Management and Accounting ",0.0035335800014194615
Engineering ,Veterinary ,0.0001350372734278678
Engineering ,Nursing ,0.0012737469326126322
Engineering ,Neuroscience ,0.0017567407152453314
Engineering ,Dentistry ,0.0005156539603919975
Engineering ,Health Professions ,0.0008943864063315523
Engineering ,Psychology ,0.0005395210133699463
Medicine ,"Biochemistry, Genetics and Molecular Biology ",0.17226910746219606
Medicine ,Medicine ,0.5704790503669949
Medicine ,Chemical Engineering ,0.011180360626100195
Medicine ,Chemistry ,0.02988692503501234
Medicine ,Materials Science ,0.00869681332735768
Medicine ,Multidisciplinary,0.03353348570980797
Medicine ,"Pharmacology, Toxicology and Pharmaceutics ",0.013204939428552238
Medicine ,Physics and Astronomy ,0.007300317719742162
Medicine ,Environmental Science ,0.008081523679456082
Medicine ,Energy ,0.00035062314568531634
Medicine ,Social Sciences ,0.009333692085711966
Medicine ,Arts and Humanities ,0.004217872505108423
Medicine ,Health Professions ,0.009224946936765096
Medicine ,Engineering ,0.00915258343691442
Medicine ,Immunology and Microbiology ,0.035775954608495475
Medicine ,Computer Science ,0.002095343108935853
Medicine ,Agricultural and Biological Sciences ,0.009191363876060914
Medicine ,Mathematics ,0.004217472706766707
Medicine ,Neuroscience ,0.0226041984423057
Medicine ,Psychology ,0.008391767192628038
Medicine ,Nursing ,0.019213908504550306
Medicine ,Decision Sciences ,0.001061064798915427
Medicine ,"Business, Management and Accounting ",0.0014456708036466406
Medicine ,Earth and Planetary Sciences ,0.001498044386411494
Medicine ,"Economics, Econometrics and Finance ",0.0009859027106727367
Medicine ,Dentistry ,0.00473681075265636
Medicine ,Veterinary ,0.001870256642549498
Social Sciences ,Arts and Humanities ,0.03706517537696384
Social Sciences ,"Pharmacology, Toxicology and Pharmaceutics ",0.04343057562792398
Social Sciences ,Medicine ,0.06924062660063254
Social Sciences ,Chemical Engineering ,0.01537940108495515
Social Sciences ,Social Sciences ,0.3842755763229198
Social Sciences ,Environmental Science ,0.021659116917341195
Social Sciences ,Chemistry ,0.07731209883031248
Social Sciences ,Multidisciplinary,0.03260006512015812
Social Sciences ,Earth and Planetary Sciences ,0.01109898835263137
Social Sciences ,"Biochemistry, Genetics and Molecular Biology ",0.07427887041278945
Social Sciences ,Materials Science ,0.016026794469737215
Social Sciences ,Physics and Astronomy ,0.010857167882433362
Social Sciences ,Immunology and Microbiology ,0.003572088205444578
Social Sciences ,Computer Science ,0.02431152569675713
Social Sciences ,Mathematics ,0.024043047851891625
Social Sciences ,"Economics, Econometrics and Finance ",0.029920998966074683
Social Sciences ,Engineering ,0.013288701271747182
Social Sciences ,Agricultural and Biological Sciences ,0.008795029542083426
Social Sciences ,Neuroscience ,0.007580214896521784
Social Sciences ,Psychology ,0.03937675058027392
Social Sciences ,Decision Sciences ,0.00799150010567745
Social Sciences ,Nursing ,0.004508904515188039
Social Sciences ,"Business, Management and Accounting ",0.036806218023051014
Social Sciences ,Energy ,0.0014147449555678687
Social Sciences ,Health Professions ,0.00472406761071855
Social Sciences ,Dentistry ,0.00026847784486550404
Social Sciences ,Veterinary ,0.00017327293533872954
Energy ,Chemistry ,0.22926083590482518
Energy ,Engineering ,0.09964229396812446
Energy ,Environmental Science ,0.09785266722373186
Energy ,Materials Science ,0.06115873945359362
Energy ,Physics and Astronomy ,0.04844273962027454
Energy ,Chemical Engineering ,0.08926640655670112
Energy ,Energy ,0.23434021769405716
Energy ,Multidisciplinary,0.012130423435337672
Energy ,Mathematics ,0.01592241441702251
Energy ,Earth and Planetary Sciences ,0.06608459934073309
Energy ,Computer Science ,0.003978410434225734
Energy ,Medicine ,0.008952520062022849
Energy ,Arts and Humanities ,0.0005307471472340836
Energy ,"Business, Management and Accounting ",0.002910336629667888
Energy ,Agricultural and Biological Sciences ,0.00817613787144076
Energy ,Immunology and Microbiology ,0.005458800204403447
Energy ,"Pharmacology, Toxicology and Pharmaceutics ",0.001418981009340711
Energy ,"Biochemistry, Genetics and Molecular Biology ",0.010307899140496665
Energy ,Social Sciences ,0.0019475349865449019
Energy ,"Economics, Econometrics and Finance ",0.0012194025366204565
Energy ,Decision Sciences ,0.000570224207772156
Energy ,Health Professions ,5.263608071742978e-05
Energy ,Neuroscience ,5.702242077721559e-05
Energy ,Veterinary ,3.0704380418500706e-05
Energy ,Nursing ,0.00019299896263057586
Energy ,Psychology ,8.99199712256092e-05
Energy ,Dentistry ,4.386340059785815e-06
Mathematics ,Mathematics ,0.46527662430551553
Mathematics ,Physics and Astronomy ,0.04103009121941133
Mathematics ,Agricultural and Biological Sciences ,0.009182957461449544
Mathematics ,"Biochemistry, Genetics and Molecular Biology ",0.11155479774781951
Mathematics ,Medicine ,0.04003349118483541
Mathematics ,Decision Sciences ,0.045043609726002784
Mathematics ,Computer Science ,0.07710430063423084
Mathematics ,Nursing ,0.0006203326745829703
Mathematics ,Multidisciplinary,0.045646993420405894
Mathematics ,Social Sciences ,0.01015921871980963
Mathematics ,Arts and Humanities ,0.003169459293634302
Mathematics ,Chemistry ,0.014952390314674767
Mathematics ,Engineering ,0.07658227204469108
Mathematics ,"Economics, Econometrics and Finance ",0.006142310417182198
Mathematics ,Health Professions ,0.0011457510601587102
Mathematics ,Neuroscience ,0.004789781798829164
Mathematics ,Chemical Engineering ,0.005555875702958953
Mathematics ,Psychology ,0.0022779429361735304
Mathematics ,"Business, Management and Accounting ",0.003169459293634302
Mathematics ,Materials Science ,0.004515208319915391
Mathematics ,Earth and Planetary Sciences ,0.00824737375552113
Mathematics ,Environmental Science ,0.0066575594146500204
Mathematics ,Energy ,0.0023898062053606234
Mathematics ,"Pharmacology, Toxicology and Pharmaceutics ",0.004020298098663403
Mathematics ,Immunology and Microbiology ,0.010454130974939238
Mathematics ,Veterinary ,0.00010508367711514798
Mathematics ,Dentistry ,0.00017287959783459828
Computer Science ,Computer Science ,0.34454566465082237
Computer Science ,Engineering ,0.14321482223335003
Computer Science ,Environmental Science ,0.014256962366626864
Computer Science ,Mathematics ,0.09157486229344015
Computer Science ,"Economics, Econometrics and Finance ",0.013000269635222064
Computer Science ,Social Sciences ,0.05729266977389161
Computer Science ,Physics and Astronomy ,0.023164554524093835
Computer Science ,Materials Science ,0.007766457378375255
